                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.702,                  2.636,                 1.3989,                0.50292,                0.19299,                0.13518,                0.05767,                 2.1517,                 1.4808,                 1.1827,              0.0033183,              0.0033183,              0.0033183
                      2,                 2.2534,                 1.5565,                 1.1861,                0.73293,                0.25127,                0.26514,                0.11556,                 2.2696,                   1.32,                  1.146,              0.0066187,              0.0066187,              0.0066187
                      3,                 2.1607,                 1.4133,                 1.1298,                0.73069,                0.24662,                0.28658,                0.14079,                 2.0829,                 1.2751,                 1.1245,              0.0098861,              0.0098861,              0.0098861
                      4,                 1.9587,                 1.2613,                 1.0669,                0.74374,                 0.2683,                0.34177,                0.17263,                 1.8837,                 1.1621,                 1.0646,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.7584,                 1.1315,                 1.0209,                0.66422,                0.49504,                0.52869,                0.29976,                 1.4059,                0.88497,                0.98306,               0.009802,               0.009802,               0.009802
                      6,                 1.6401,                 1.0552,                0.99448,                0.70045,                 0.4985,                0.57326,                0.32773,                 1.3526,                0.85539,                0.97411,              0.0097525,              0.0097525,              0.0097525
                      7,                  1.548,                0.98567,                0.97028,                 0.6485,                0.51532,                0.56515,                  0.317,                 1.3994,                0.87108,                 0.9874,               0.009703,               0.009703,               0.009703
                      8,                 1.4655,                0.94328,                0.95288,                0.80441,                0.59629,                0.67389,                 0.3931,                 1.2697,                 0.7612,                 0.9385,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.4114,                0.90673,                0.94009,                0.69441,                0.57201,                0.64315,                0.39295,                 1.2585,                0.76523,                0.94265,               0.009604,               0.009604,               0.009604
                     10,                  1.366,                0.88245,                0.93139,                0.81549,                0.64589,                0.71355,                0.44811,                 1.1443,                0.70803,                0.91749,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.3189,                 0.8573,                0.92321,                0.78437,                0.60586,                0.68385,                0.43894,                 1.1047,                0.71398,                  0.912,               0.009505,               0.009505,               0.009505
                     12,                   1.29,                0.83899,                0.91695,                 0.8135,                0.64405,                0.71112,                0.44812,                 1.1304,                 0.6738,                0.91364,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.2674,                0.82129,                0.90924,                0.78667,                0.59631,                 0.6711,                0.43155,                 1.0646,                0.68348,                0.91404,               0.009406,               0.009406,               0.009406
                     14,                 1.2373,                0.80708,                0.90309,                0.83746,                0.65448,                0.72984,                0.48662,                 1.0394,                0.64719,                0.89915,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.2018,                0.78679,                  0.899,                0.82469,                0.65718,                0.72441,                0.46348,                 1.0237,                0.63028,                0.89097,               0.009307,               0.009307,               0.009307
                     16,                 1.1844,                0.77346,                0.89384,                0.81311,                0.65223,                0.72603,                0.47196,                 1.0185,                0.63532,                0.89268,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.1743,                0.76778,                0.88989,                0.80455,                0.63396,                0.73364,                0.48419,                0.98619,                0.64331,                0.89998,               0.009208,               0.009208,               0.009208
                     18,                  1.151,                0.75451,                0.88808,                0.85389,                0.65994,                0.75998,                  0.533,                0.87377,                0.57914,                 0.8807,              0.0091585,              0.0091585,              0.0091585
                     19,                  1.128,                0.74123,                0.88552,                 0.8289,                0.68079,                0.75586,                0.51153,                0.90506,                0.58014,                 0.8775,               0.009109,               0.009109,               0.009109
                     20,                 1.1138,                0.73312,                 0.8815,                0.80691,                0.67518,                0.74795,                0.49757,                0.91391,                 0.5945,                0.88338,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.1125,                0.73267,                0.87973,                 0.8398,                0.68648,                0.76151,                0.52504,                 0.9056,                0.57623,                0.87611,                0.00901,                0.00901,                0.00901
                     22,                  1.094,                0.71864,                 0.8767,                0.84621,                0.69501,                0.76943,                0.53324,                0.86365,                 0.5634,                0.86939,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.0816,                0.70959,                0.87166,                0.84143,                0.67438,                0.75344,                0.52253,                0.92325,                0.57236,                0.87217,               0.008911,               0.008911,               0.008911
                     24,                 1.0758,                0.70596,                0.87218,                0.84413,                0.69489,                0.77286,                0.53787,                0.85765,                0.55318,                0.87372,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.0558,                0.69783,                0.87155,                0.85202,                0.70538,                0.77699,                0.55666,                0.82921,                0.54788,                0.86994,               0.008812,               0.008812,               0.008812
                     26,                 1.0405,                0.68747,                0.86767,                0.86514,                0.70497,                0.78558,                 0.5591,                 0.8032,                0.52949,                0.86505,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.0383,                0.68481,                0.86944,                0.87543,                0.71209,                0.78941,                 0.5619,                0.83829,                 0.5415,                0.87082,               0.008713,               0.008713,               0.008713
                     28,                 1.0328,                0.68083,                0.86375,                0.85797,                0.72066,                0.79171,                0.56865,                0.79863,                0.53003,                0.85801,              0.0086635,              0.0086635,              0.0086635
                     29,                 1.0179,                0.67094,                0.86463,                0.86781,                  0.713,                0.79119,                0.57586,                0.78385,                0.51988,                0.85845,               0.008614,               0.008614,               0.008614
                     30,                 1.0086,                0.66872,                0.86247,                0.85013,                0.69891,                0.77548,                0.54655,                0.84529,                0.56395,                0.87189,              0.0085645,              0.0085645,              0.0085645
                     31,                 1.0071,                 0.6629,                0.85983,                 0.8625,                0.71208,                 0.7883,                0.57139,                0.83178,                0.54829,                0.87028,               0.008515,               0.008515,               0.008515
                     32,                0.98884,                 0.6544,                0.85774,                0.87643,                0.72121,                0.79988,                0.58243,                0.78281,                0.51329,                0.85404,              0.0084655,              0.0084655,              0.0084655
