                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5474,                 1.7625,                 1.3591,                0.58312,                0.28938,                0.30678,                 0.1541,                 1.8931,                 1.1057,                 1.1159,               0.003328,               0.003328,               0.003328
                      2,                 2.0482,                 1.2435,                 1.1172,                0.53235,                0.39348,                0.42406,                0.21208,                 1.9136,                 1.1013,                 1.0603,              0.0066394,              0.0066394,              0.0066394
                      3,                 1.9765,                 1.2078,                  1.071,                0.53736,                0.44153,                0.45443,                0.22015,                 1.9245,                 1.0952,                 1.0653,              0.0099287,              0.0099287,              0.0099287
                      4,                 1.8528,                 1.1145,                 1.0246,                0.61659,                0.44648,                0.51771,                0.27252,                 1.6166,                 0.9627,                 1.0171,               0.009901,               0.009901,               0.009901
                      5,                 1.6716,                0.99761,                0.98207,                0.73733,                0.57233,                0.64209,                0.34986,                 1.3892,                0.82919,                0.95741,               0.009868,               0.009868,               0.009868
                      6,                  1.534,                 0.9188,                0.95511,                0.77453,                0.57119,                0.67337,                0.40954,                 1.2528,                0.74001,                0.92544,               0.009835,               0.009835,               0.009835
                      7,                 1.4541,                0.86832,                 0.9361,                0.63044,                0.50603,                0.55055,                0.30615,                 1.5807,                0.96677,                0.99783,               0.009802,               0.009802,               0.009802
                      8,                 1.4025,                 0.8374,                 0.9259,                0.83996,                0.61585,                0.71785,                0.45793,                 1.1556,                0.69189,                0.90828,               0.009769,               0.009769,               0.009769
                      9,                 1.3403,                0.80269,                0.91464,                0.79955,                0.63902,                0.71626,                0.45895,                 1.1373,                0.67027,                 0.9072,               0.009736,               0.009736,               0.009736
                     10,                 1.2899,                0.77608,                0.90755,                0.81182,                0.63167,                0.71988,                0.47635,                 1.0776,                0.64964,                0.89643,               0.009703,               0.009703,               0.009703
                     11,                 1.2584,                0.75764,                0.89932,                 0.8398,                0.64382,                0.73752,                0.49865,                0.98887,                 0.6034,                0.88111,                0.00967,                0.00967,                0.00967
                     12,                 1.2316,                0.74299,                 0.8934,                0.82561,                0.66781,                0.75759,                0.52666,                0.95425,                0.59439,                0.88259,               0.009637,               0.009637,               0.009637
                     13,                 1.1918,                0.72401,                 0.8894,                0.85195,                0.65025,                0.74977,                0.51572,                0.92902,                0.57716,                0.87694,               0.009604,               0.009604,               0.009604
                     14,                 1.1723,                0.71181,                0.88268,                0.84751,                0.66314,                0.76306,                0.53536,                0.89615,                0.57443,                0.87333,               0.009571,               0.009571,               0.009571
                     15,                 1.1434,                0.70058,                0.88012,                0.85061,                 0.6718,                0.76578,                0.53427,                0.92602,                0.57562,                0.87393,               0.009538,               0.009538,               0.009538
                     16,                 1.1252,                0.69006,                0.87545,                0.82825,                0.69053,                0.76757,                0.53777,                0.87031,                0.55541,                0.86535,               0.009505,               0.009505,               0.009505
                     17,                 1.1099,                 0.6816,                0.87369,                0.85452,                0.67853,                0.77331,                0.55284,                0.86241,                0.55123,                0.86758,               0.009472,               0.009472,               0.009472
                     18,                 1.0902,                0.67016,                0.87098,                0.88472,                0.67232,                0.78617,                0.55341,                0.84403,                0.53628,                0.86012,               0.009439,               0.009439,               0.009439
                     19,                 1.0734,                0.66287,                 0.8687,                0.86293,                0.69029,                0.78086,                0.56792,                0.85937,                0.52515,                0.85847,               0.009406,               0.009406,               0.009406
                     20,                 1.0593,                0.65269,                0.86542,                0.85682,                0.67633,                0.77894,                0.55985,                0.86469,                0.53964,                0.86372,               0.009373,               0.009373,               0.009373
                     21,                 1.0397,                0.64425,                0.86336,                0.84245,                0.64065,                 0.7423,                0.53169,                0.88329,                0.58108,                0.86373,                0.00934,                0.00934,                0.00934
                     22,                 1.0274,                0.63647,                 0.8613,                0.84342,                0.70948,                0.78623,                0.58237,                0.78901,                0.51326,                0.85228,               0.009307,               0.009307,               0.009307
                     23,                 1.0135,                0.63024,                0.85853,                0.83036,                0.69383,                0.78752,                0.57708,                0.80989,                0.51321,                0.85773,               0.009274,               0.009274,               0.009274
                     24,                 1.0101,                0.62655,                0.85616,                0.86041,                0.71523,                0.80029,                0.59944,                0.76992,                0.50526,                0.84902,               0.009241,               0.009241,               0.009241
                     25,                0.99571,                0.61729,                0.85417,                 0.8586,                0.71448,                0.79724,                0.58306,                0.80431,                0.51443,                0.85221,               0.009208,               0.009208,               0.009208
                     26,                0.98831,                0.61381,                 0.8524,                0.86289,                0.70737,                0.79187,                0.56961,                0.83085,                0.53117,                0.85203,               0.009175,               0.009175,               0.009175
                     27,                0.98402,                0.61161,                0.85162,                0.87305,                0.72268,                0.81064,                0.61228,                0.74336,                0.48268,                0.84422,               0.009142,               0.009142,               0.009142
                     28,                 0.9697,                0.60271,                0.84848,                0.87449,                0.72774,                  0.808,                0.60799,                 0.7957,                 0.4964,                0.84428,               0.009109,               0.009109,               0.009109
                     29,                0.95992,                0.59758,                0.84864,                 0.8877,                0.71083,                0.80844,                0.60191,                0.79592,                0.50246,                0.84711,               0.009076,               0.009076,               0.009076
                     30,                0.94565,                0.59069,                0.84668,                0.88659,                0.72165,                0.80873,                0.61045,                0.73105,                 0.4763,                 0.8389,               0.009043,               0.009043,               0.009043
                     31,                0.94888,                 0.5914,                0.84631,                0.89385,                0.72321,                0.81562,                0.62661,                0.71842,                0.47327,                0.84192,                0.00901,                0.00901,                0.00901
                     32,                0.93086,                0.58468,                0.84538,                0.89704,                0.72531,                0.82231,                0.62048,                0.72582,                0.47312,                0.84064,               0.008977,               0.008977,               0.008977
                     33,                 0.9258,                0.57984,                 0.8451,                0.88683,                0.72479,                 0.8141,                0.61855,                0.71691,                 0.4683,                0.84191,               0.008944,               0.008944,               0.008944
                     34,                0.91965,                0.57702,                0.84282,                0.89265,                 0.7256,                0.81576,                  0.625,                 0.7001,                0.46349,                0.83849,               0.008911,               0.008911,               0.008911
                     35,                0.92272,                0.57896,                0.84166,                0.88936,                0.71244,                0.80633,                0.59416,                0.76235,                0.47586,                0.84135,               0.008878,               0.008878,               0.008878
                     36,                0.90635,                0.56791,                0.84082,                0.89425,                0.72316,                0.81698,                0.62561,                0.70561,                0.46341,                0.83814,               0.008845,               0.008845,               0.008845
                     37,                0.89801,                0.56422,                0.84168,                0.90711,                0.72144,                0.81654,                0.63283,                0.69775,                0.45443,                0.83539,               0.008812,               0.008812,               0.008812
                     38,                0.89594,                0.56498,                 0.8421,                0.89614,                0.72682,                0.81771,                0.63444,                0.67021,                0.44844,                 0.8339,               0.008779,               0.008779,               0.008779
                     39,                0.89271,                0.56222,                0.83714,                0.89398,                0.72031,                0.81511,                0.62447,                0.70884,                0.45685,                0.83626,               0.008746,               0.008746,               0.008746
                     40,                0.88239,                0.55924,                0.83802,                0.90506,                0.72496,                0.82174,                0.63318,                0.69873,                0.44816,                0.83526,               0.008713,               0.008713,               0.008713
                     41,                0.87569,                0.55201,                0.83543,                0.89721,                0.72537,                0.81865,                0.64027,                0.68234,                0.44828,                0.83279,                0.00868,                0.00868,                0.00868
                     42,                0.87512,                0.55067,                0.83579,                0.90545,                0.72517,                0.81981,                0.64519,                0.66124,                0.43896,                0.83053,               0.008647,               0.008647,               0.008647
                     43,                0.86113,                0.54621,                0.83573,                0.90755,                0.72775,                0.82466,                0.64602,                0.66837,                0.43964,                0.83153,               0.008614,               0.008614,               0.008614
                     44,                0.86237,                0.54747,                0.83643,                0.90687,                  0.722,                0.81909,                 0.6416,                0.65774,                0.43873,                0.83106,               0.008581,               0.008581,               0.008581
                     45,                0.85361,                0.54064,                0.83326,                0.89621,                0.73041,                0.81965,                0.63412,                0.66553,                0.43371,                0.83236,               0.008548,               0.008548,               0.008548
                     46,                0.85563,                 0.5435,                0.83451,                0.89732,                0.73671,                0.82132,                0.64082,                0.64658,                0.43153,                0.82995,               0.008515,               0.008515,               0.008515
                     47,                0.85358,                0.53844,                0.83287,                0.90285,                0.73182,                0.82357,                0.64731,                0.64361,                0.42456,                 0.8276,               0.008482,               0.008482,               0.008482
                     48,                0.84596,                0.53436,                0.83031,                0.89645,                0.73805,                0.82606,                0.65609,                0.64156,                0.42342,                0.82667,               0.008449,               0.008449,               0.008449
                     49,                0.84461,                0.53517,                0.83112,                0.90548,                0.71607,                0.81655,                0.62993,                0.68777,                0.44937,                 0.8388,               0.008416,               0.008416,               0.008416
